"시도별","품목별",2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07
"전국","쌀",103.330,103.314,102.706,102.698,102.034,101.985,101.709,101.328,101.264,102.487,103.136,101.863,101.49,100.71,100.06,99.91,100.17,99.74,100.11,100.02,100.43,100.69,99.00,97.66,94.32,94.19,94.43,93.13,90.45,89.58,88.97,89.38,88.34,85.95,84.25,83.22,82.55,82.10,80.77,80.36,81.32,79.01,80.30
"전국","배추",82.422,80.471,70.703,67.631,69.305,73.889,106.477,141.471,145.323,97.586,66.428,59.732,63.90,68.67,80.95,92.99,130.07,141.64,131.67,131.04,120.74,97.98,71.62,68.74,82.19,113.37,148.42,200.14,183.44,123.60,127.86,209.98,352.49,232.78,129.21,131.94,146.93,146.94,143.47,126.82,91.90,84.55,138.46
"전국","상추",86.456,82.321,79.969,75.995,74.127,67.189,77.349,119.041,124.819,83.041,81.526,93.566,130.51,106.80,85.19,80.47,81.47,74.73,88.82,125.97,107.33,86.64,87.82,144.26,143.14,130.06,97.68,80.38,79.20,73.71,122.28,123.86,158.63,154.16,134.95,108.18,103.91,97.32,91.49,87.03,87.58,89.69,168.08
"전국","시금치",70.969,68.085,55.120,57.889,68.783,67.250,86.085,149.409,129.556,87.114,73.589,80.798,108.00,108.21,78.31,69.48,75.07,82.88,111.55,168.95,149.62,81.08,76.48,90.37,100.89,124.71,83.06,73.87,80.53,91.68,118.84,215.87,297.42,120.87,117.71,115.74,119.95,114.79,85.98,70.04,71.53,80.62,140.28
"전국","양배추",90.904,81.454,72.142,65.916,71.336,71.642,81.829,81.718,77.562,71.934,73.893,77.826,81.58,85.02,91.51,93.62,116.97,152.41,113.62,110.09,108.95,93.84,78.73,73.67,78.95,102.09,102.93,130.03,166.50,126.06,96.65,90.71,140.62,150.40,187.32,229.30,203.29,191.06,197.11,148.98,112.45,102.63,106.95
"전국","무",75.860,73.429,74.644,75.404,86.716,89.789,90.330,97.759,100.342,92.626,80.824,85.349,87.42,88.07,91.50,90.69,99.27,120.38,147.46,130.28,98.98,86.77,79.25,79.94,93.37,124.63,123.39,151.02,159.01,107.32,111.68,122.89,206.25,208.46,173.41,199.88,198.88,164.55,145.04,136.57,150.63,138.30,144.62
"전국","당근",96.191,87.383,84.151,94.723,119.319,115.188,116.832,135.862,173.319,161.279,111.507,91.119,84.62,84.45,84.20,87.04,109.56,107.85,107.66,109.16,111.67,112.13,103.76,97.89,94.97,96.33,94.27,98.49,110.08,103.48,100.61,113.62,136.42,143.53,172.14,207.72,213.98,196.32,161.94,151.10,135.34,126.71,120.62
"전국","감자",89.914,95.692,104.766,115.701,110.679,80.530,64.932,66.047,69.294,68.461,68.781,82.168,94.39,109.32,119.89,140.66,141.14,104.29,81.28,78.46,78.28,76.96,80.88,94.44,106.55,119.15,129.43,135.37,117.38,83.21,68.41,66.99,74.50,79.07,84.58,100.24,126.73,139.84,148.15,139.99,129.91,112.83,96.93
"전국","고구마",79.682,79.431,81.286,81.699,91.455,98.213,112.595,107.839,97.727,89.016,82.728,84.260,88.46,93.74,98.54,98.60,107.51,112.31,128.03,117.19,97.87,86.08,84.66,87.02,90.14,91.88,93.81,95.71,98.10,100.38,104.60,105.33,96.56,92.61,90.41,92.52,94.41,94.96,95.87,99.62,100.97,103.76,111.81
"전국","오이",121.726,133.969,121.166,94.378,71.958,69.609,62.956,90.349,78.492,67.590,83.109,119.496,132.33,161.70,118.96,104.12,81.68,66.57,74.08,86.03,76.92,74.95,74.95,147.70,124.42,140.12,120.63,87.90,73.56,76.38,94.87,94.56,130.26,114.50,110.53,117.31,139.42,132.04,115.05,86.41,70.21,66.51,108.50
"전국","풋고추",106.904,143.418,141.510,103.658,93.635,85.726,79.991,82.195,106.875,82.421,104.170,118.994,127.07,163.24,149.01,108.48,103.62,86.51,79.58,72.98,73.98,70.07,73.81,91.66,105.00,139.29,112.90,93.08,84.88,78.21,85.10,96.01,155.20,107.98,118.36,117.76,127.00,125.53,115.85,100.32,100.47,97.70,98.90
"전국","호박",131.144,140.979,136.929,104.037,78.394,74.934,59.669,85.040,90.141,69.527,101.982,121.604,135.62,162.60,123.56,103.16,68.93,60.23,67.30,83.73,85.34,74.26,92.63,142.64,138.41,163.30,129.85,85.85,65.58,68.29,76.29,78.58,166.42,122.02,118.48,111.74,140.37,122.11,103.42,76.72,64.70,72.51,107.20
"전국","파",79.059,76.030,71.204,61.898,60.777,65.936,66.748,75.772,80.647,70.170,65.369,80.265,77.54,85.86,89.37,80.86,100.10,125.54,115.90,113.64,109.52,100.20,92.69,108.79,117.46,157.14,134.19,115.03,115.50,99.59,90.15,91.03,123.97,122.56,132.48,143.98,142.25,137.64,152.50,118.95,97.72,86.68,86.32
"전국","양파",94.736,94.960,86.819,80.970,78.730,71.787,64.214,64.128,65.343,64.697,65.231,64.300,66.92,67.12,73.22,80.66,88.76,87.87,101.21,112.55,121.17,123.86,129.64,147.00,145.26,147.56,145.49,137.56,98.97,81.48,79.80,80.35,85.17,90.14,94.12,98.68,106.40,124.26,129.11,134.65,108.39,105.80,104.00
"전국","마늘",81.695,81.154,78.886,78.207,78.050,77.463,78.675,81.787,84.064,84.689,84.303,84.634,83.80,85.42,87.60,90.31,91.13,93.21,105.06,107.94,109.33,114.37,114.44,117.38,119.25,127.21,129.16,133.63,144.81,148.57,139.78,128.09,126.58,130.86,127.84,130.04,128.73,128.04,128.57,127.20,125.78,123.11,119.55
"전국","사과",100.298,104.413,101.902,102.260,102.260,102.260,102.260,102.260,101.345,98.087,93.689,94.030,97.13,101.56,102.45,103.27,103.27,103.27,103.27,103.27,105.54,103.64,89.37,83.95,84.81,89.25,87.07,84.35,84.35,84.35,84.35,84.35,88.45,92.16,88.41,86.95,89.79,91.56,91.34,90.89,90.89,90.89,90.89
"전국","귤",103.263,112.213,118.731,118.731,118.731,118.731,118.731,118.731,118.731,118.605,97.591,91.612,95.15,95.90,102.02,102.02,102.02,102.02,102.02,102.02,102.02,111.19,93.90,89.70,86.76,105.65,109.60,109.60,109.60,109.60,109.60,109.60,109.60,117.92,112.90,104.22,120.86,172.49,225.95,225.95,225.95,225.95,225.95
"전국","수박",146.462,146.462,146.462,146.462,138.652,91.503,86.667,90.551,90.551,90.551,90.551,90.551,90.48,90.48,90.48,90.48,122.14,102.85,95.44,103.53,103.53,103.53,103.53,103.53,103.53,103.53,103.53,103.53,112.83,96.39,93.02,110.31,110.31,110.31,110.31,110.31,110.31,110.31,110.31,110.31,132.15,122.73,111.66
"전국","딸기",129.825,116.517,92.053,83.420,84.468,84.468,84.468,84.468,84.468,84.468,84.468,84.468,133.54,117.75,91.81,87.25,93.23,93.23,93.23,93.23,93.23,93.23,93.23,117.02,114.98,119.97,98.72,80.03,77.91,77.91,77.91,77.91,77.91,77.91,77.91,139.89,128.49,103.34,87.97,77.40,79.17,79.17,79.17
"전국","닭고기",103.508,101.157,104.298,107.647,107.706,102.816,98.351,100.258,94.903,101.552,102.490,101.315,106.49,105.20,105.94,105.25,102.56,98.74,98.88,98.01,95.01,95.58,93.99,94.33,96.47,95.26,96.33,94.93,92.26,95.18,96.17,96.63,98.63,102.20,99.12,96.87,92.37,100.64,107.20,104.17,109.91,108.72,101.92
"전국","달걀",103.687,100.723,99.452,103.933,103.449,103.019,102.471,103.170,102.312,101.240,104.148,104.680,102.98,102.71,101.27,101.71,102.79,102.02,99.37,98.44,98.00,98.52,96.49,95.71,95.29,93.75,89.81,89.30,87.11,86.91,87.13,87.74,91.64,92.63,94.08,102.30,154.28,141.23,128.52,135.97,146.30,147.10,143.62
